Sarkı_Adı,Enstrümantallik,Ortalama_Enerji
Ave Maria by Bach,0.94,0.189
Huaylas ancestral,0.585,0.641
The Swan (From: Carnival of the Animals),0.86,0.109
Concierto de Aranjuez,0.829,0.138
Ave Maria by Schubert,0.899,0.146
Introspection,0.814,0.821
Cadiz,0.925,0.244
An Idea,0.956,0.00785
Bolero Mientras Tanto,0.829,0.382
Adagio,0.847,0.0246
Erui,0.848,0.113
Dirty Old Bossa Nova,0.808,0.226
Rodrigo: Concierto de Aranjuez: II. Adagio,0.862,0.098
Lascia,0.684,0.0709
Edelweiss (Instrumental),0.876,0.107
Rain Day,0.818,0.298
Se Me Olvido Otra Vez,0.524,0.541
Pavane For A Dead Princess For Guitar,0.684,0.0455
"Pavane, Op. 50",0.768,0.104
Lake District,0.888,0.0644
Dance of the Blessed Spirits,0.942,0.147
"Sonata No. 8 C Major: \""Pathétique\""",0.935,0.0946
The Deer Hunter - Cavatina,0.934,0.145
Orchestral Suite No. 3- II. Air on a G String,0.899,0.0484
Shaka Slack Key - Instrumental,0.952,0.335
Ten Words,0.937,0.616
Made of Tears,0.704,0.715
I'll Be Waiting,0.909,0.592
El Noi de la Mare,0.874,0.217
Feelings You Cannot Hide,0.875,0.219
The slow train,0.913,0.0525
いそしぎ,0.865,0.0207
Un Viejo Amor,0.952,0.0999
Adiós Pueblo de Ayacucho,0.938,0.541
Hispanoamerica,0.865,0.102
Bad Horsie,0.776,0.771
Entre Dos Aguas - Remastered 2014,0.851,0.917
Un corazón olvidado,0.594,0.0797
thinking of you,0.931,0.609
Beyond,0.889,0.482
I'm not ready to say goodbye to autumn,0.691,0.357
Passing Rain,0.94,0.108
Vibrations,0.939,0.2
Sarria,0.952,0.268
Chloe,0.877,0.186
Vesuvio,0.878,0.134
Fields Of Gold,0.923,0.154
Days Of Wine And Roses,0.948,0.0296
A Voz Do Morro,0.797,0.142
Night Dance,0.888,0.127
Adelita de Tarrega Large Reverb,0.967,0.159
How D'ya Do,0.883,0.156
Tango en Skai - Instrumental,0.837,0.122
Old Mauna Loa,0.958,0.171
Kaulana Na Pua,0.932,0.177
The Queen's Prayer,0.818,0.355
Funky en Si Menor,0.878,0.516
Vencida,0.687,0.039
Blossom,0.938,0.428
Feeling,0.843,0.315
Ice,0.669,0.0666
Across The Sea,0.889,0.245
Breezin',0.863,0.752
As It Was,0.596,0.208
Morning Blue,0.944,0.202
Solitude,0.905,0.108
Unravel (OP from 'Tokyo Ghoul'),0.728,0.619
Waterfall,0.927,0.0839
In Your Own Sweet Way,0.912,0.0703
Make You Feel My Love - Acoustic Instrumental,0.953,0.331
El testament de Amelia,0.936,0.137
TRUE LOVE,0.902,0.0563
Toumast Tincha,0.817,0.66
Nai'o,0.829,0.175
Summer Song,0.927,0.917
La Sandunga,0.811,0.379
What Keeps You Up at Night (Instrumental Version),0.927,0.335
Prelúdio No. 2,0.914,0.318
La mancornadora,0.522,0.241
Rainy Day,0.924,0.276
Nocturnal Space,0.783,0.158
Shirohae,0.731,0.137
Wake Me Up When September Ends,0.848,0.0614
Why Me,0.961,0.0177
Night Sky,0.871,0.351
Sonnen Diamant,0.92,0.0863
River Flows In You - Guitar Version,0.86,0.177
If I Could Fly,0.927,0.953
All of Me,0.934,0.141
Olessa,0.919,0.119
Nothing is lost,0.956,0.16
Just Dipping My Toe,0.908,0.127
Fields of Gold,0.946,0.164
Sahara,0.873,0.606
Let Her Go,0.944,0.402
"The Legend of Ashitaka (from \""Princess Mononoke\"") - Acoustic Guitar",0.526,0.209
Something Just Like This,0.863,0.489
Ya me Voy,0.896,0.27
Time after Time,0.88,0.158
Satch Boogie,0.833,0.951
Recuerdos de Julcán,0.834,0.357
Nocturne,0.802,0.48
Nights in White Satin,0.908,0.0709
Nothin' Like You (Instrumental Version),0.882,0.298
Ansia Marimba,0.907,0.407
Movimento perpétuo,0.907,0.64
Carnaval Arequipeño,0.87,0.266
El Cóndor Pasa,0.705,0.186
Northern Lights,0.918,0.236
Starry Night,0.64,0.795
The Other Side Of The Sun,0.944,0.156
Savage Love,0.839,0.139
Salut Sandro,0.725,0.0899
Nell'angolo,0.749,0.123
Shape Of You,0.86,0.284
Watermelon Sugar,0.808,0.332
Folktales,0.877,0.57
Rude,0.877,0.475
Mercy (Instrumental Version),0.848,0.203
Paniolo,0.908,0.525
U'i Lani,0.838,0.206
Drunk Girl (Instrumental Version),0.887,0.305
Semblanza Veracruzana:,0.794,0.159
Make It Sweet (Instrumental Version),0.798,0.332
Secret,0.722,0.256
August,0.947,0.101
Light in the Sky,0.754,0.386
Hidden Moments,0.919,0.076
Unspoken,0.917,0.185
Both Sides Now,0.957,0.0266
Mirage,0.922,0.155
Super Trouper,0.93,0.175
Las Rosas,0.944,0.173
Easy,0.885,0.51
Mad World,0.95,0.25
Guadalajara,0.855,0.322
Justin's Lullabye,0.867,0.187
Somebody That I Used To Know,0.597,0.332
Barrios Mangoré: La Catedral: III. Allegro solemne,0.89,0.207
En el Último Trago,0.728,0.45
Panorama ayacuchano,0.853,0.356
Un Vals,0.857,0.168
The Skye Boat Song,0.923,0.0514
Canto De Ossanha,0.89,0.242
Chestnuts Roasting On An Open Fire (Christmas Song),0.915,0.17
Island Style,0.93,0.178
Ella,0.885,0.143
Sergio Assad: Valseana,0.909,0.0125
Pua A'ala,0.907,0.214
Wehiwehi 'Oe,0.881,0.121
Punahele,0.952,0.151
Minor Swing,0.743,0.47
Polka Dots And Moonbeams,0.902,0.114
Las Bodas de Luis Alonso,0.877,0.678
Coracao Vagabundo,0.563,0.0688
Zorba's Dance,0.905,0.385
Waikīkī Hula Medley,0.932,0.166
The Scientist,0.929,0.111
Light of Seven,0.868,0.137
Open Sky,0.883,0.237
Stay,0.924,0.15
Footsteps In Palermo,0.925,0.119
Light Touch,0.907,0.0496
It Will Come Back,0.942,0.162
Love Thing,0.824,0.525
Morning Has Broken,0.926,0.195
Hold On (Instrumental Guitar),0.92,0.223
In The End - Acoustic Guitar,0.906,0.143
Girls Like You,0.909,0.172
Speechless (From ''Aladdin'') [Instrumental Guitar],0.921,0.197
Lonely Dreaming,0.905,0.115
Despacito,0.912,0.24
Low Hanging Fruit,0.888,0.0893
Imagine,0.871,0.189
Love Somebody,0.955,0.0925
Brisas,0.83,0.49
Las Abejas (The Bees),0.927,0.272
Inch Of You,0.63,0.0313
Hasta Que Te Conoci,0.963,0.312
Las Mañanitas,0.574,0.44
Contigo,0.904,0.299
Silverio,0.874,0.427
Cielo,0.78,0.435
Kauhale O Kamapua'a - Instrumental,0.863,0.112
a beautiful day,0.866,0.396
Valsa e Vinho,0.929,0.0708
The Air Between Us,0.859,0.252
Let Me Reach That Mountain,0.889,0.111
Billie Jean - Acoustic Instrumental,0.914,0.341
Leave The Door Open - Acoustic Instrumental,0.923,0.282
Love Me Like You Do,0.947,0.231
Let Her Go (Instrumental Guitar),0.889,0.218
Your Song,0.862,0.188
Game of Thrones Theme,0.969,0.114
My Heart Will Go On - Acoustic,0.854,0.157
Believer,0.933,0.628
今夜月の見える丘に,0.954,0.0659
マシュケナダ,0.926,0.0874
Lament in Tremelo Form,0.936,0.00981
And I Love Her,0.834,0.113
Abuelo,0.981,0.166
Adiós Pueblo de Ayacucho,0.749,0.394
Kawika,0.885,0.512
La Llorona,0.883,0.324
Duerme,0.933,0.191
"Libertango (from \""Cuatro Tangos\"") - Latino Gold Version",0.503,0.289
San Michele Piano Intro,0.8,0.13
Sickworld,0.862,0.154
Color,0.914,0.102
Die Wanderbiene,0.954,0.123
君をのせて,0.969,0.125
Spring Wind (Clannad),0.802,0.418
Lost,0.942,0.389
Rio Panama,0.921,0.11
Solus,0.884,0.106
Whispering a Prayer,0.719,0.3
We Made It,0.516,0.0701
"The World (From \""Death Note\"")",0.929,0.388
Tamiditine,0.907,0.359
The Times They Are a-Changin’,0.946,0.0455
Pernambuco,0.885,0.0832
La foule,0.854,0.74
Wonderful Tonight - Acoustic Instrumental,0.711,0.417
What Child Is This (Greensleeves),0.888,0.305
Take on Me,0.892,0.142
Campomoro,0.991,0.00108
Someone To Watch Over Me,0.885,0.323
CAN YOU CELEBRATE,0.921,0.0572
Kī Hō'alu,0.864,0.293
Amor Eterno,0.881,0.399
La Media Vuelta,0.735,0.472
Kohala Medley,0.886,0.108
Amaneci en Tus Brazos,0.908,0.458
"Mediterranean Sundance / Rio Ancho - Live at Warfield Theatre, San Francisco, CA - December 5, 1980",0.808,0.576
Hawaiian Soul,0.856,0.333
Mehameha,0.855,0.123
Sweet Lei Lehua,0.739,0.451
Letter from Home,0.684,0.0931
La Barca de Oro,0.935,0.0506
Cielo Rojo / Cruz De Olvido,0.846,0.33
Ella / La Enorme Distancia / Que Te Vaya Bonito / Vámonos,0.85,0.328
Far Beyond The Sun,0.823,0.762
One Wish,0.946,0.145
Telémaco,0.905,0.124
Still So Beautiful,0.859,0.0878
Fernweh,0.94,0.0988
Sunday Morning,0.868,0.261
Lovers,0.954,0.087
Zerzura Theme II,0.885,0.303
A Thousand Years,0.909,0.28
"Fairytale (From \""Shrek\"")",0.855,0.0234
Brighter Days,0.82,0.279
Lullaby for Doris,0.964,0.0202
Djangologie,0.924,0.397
La Bikina,0.835,0.294
Norbourn,0.97,0.161
Hi'ilawe,0.942,0.307
Bellicoso,0.988,0.0033
Ritornello,0.956,0.00129
Samba Triste,0.935,0.162
7 anéis,0.945,0.146
Wandel,0.757,0.000074
Quiero Ser Tu Sombra,0.834,0.591
Minha Saudade,0.982,0.435
Amager,0.959,0.004
And I Love Her,0.902,0.13
Jazz 'N' Samba (So Danco Samba),0.774,0.502
Aloha 'Oe,0.94,0.22
Recitativo,0.888,0.0000726
Pau Hana Rag,0.744,0.195
Fue un Placer Conocerte,0.938,0.482
Bossa Dorado,0.852,0.564
He Aloha No 'O Honolulu & Mauna Loa - Medley,0.843,0.228
La Diferencia,0.904,0.466
Serenade To Nalani,0.857,0.0299
O Pato (The Duck) - Live At Carnegie Hall/1964,0.827,0.18
Sweet Lei Lehua - Bonus Track,0.751,0.309
Green Quartz,0.926,0.0594
Julia Florida,0.888,0.163
Patagonia Wind,0.908,0.279
Someone You Loved,0.781,0.518
Struna,0.93,0.242
Station,0.949,0.144
Transformed,0.954,0.113
Syros,0.963,0.194
Señorita,0.858,0.301
It's a Small World After All,0.909,0.193
I Like Me Better - Instrumental Guitar,0.897,0.515
Mad World - Classical Guitar Version,0.928,0.297
A Tribute To A Rose,0.893,0.0353
Primavera,0.884,0.295
We Don't Talk About Bruno - Acoustic Instrumental,0.927,0.33
Crowd Chant,0.508,0.946
Thracian,0.667,0.000179
I Love Kauai,0.909,0.327
Ionian,0.993,0.0268
Hallelujah,0.897,0.181
Cielito Lindo,0.949,0.0763
La Farsante,0.926,0.417
Oresund,0.98,0.0022
Maori Brown Eyes - Instrumental,0.919,0.279
楊雪霏,0.94,0.122
Homebound,0.851,0.416
Kanaka Nova,0.763,0.0268
A Go Go,0.845,0.432
Saddle Road,0.73,0.0754
I'll See You in My Dreams,0.913,0.522
Rose Room,0.738,0.493
Interstellar Docking Scene,0.92,0.276
Hallelujah,0.888,0.163
Olomana,0.947,0.0961
Svalbard,0.855,0.175
Dreaming in Color,0.693,0.27
Sophia,0.566,0.272
pause,0.927,0.0931
In Love Again,0.923,0.0485
Teeth of the Hydra,0.886,0.904
Every Breath You Take,0.915,0.259
Anjuli,0.924,0.158
Huaylas Antiguo,0.81,0.59
Tranquille,0.914,0.189
Hay Unos Ojos,0.883,0.226
Estrellita,0.905,0.23
I'll Fly away,0.888,0.222
La Bruja,0.813,0.287
Guitarras Lloren Guitarras,0.963,0.299
Roulette (feat. Ruby Amanfu),0.633,0.787
Arafura,0.99,0.0446
Tu Me Dijiste Adios,0.919,0.451
Bossa Nova Cha Cha,0.514,0.184
El Gaucho Rojo,0.839,0.654
Rock a bye Baby,0.833,0.0948
White Christmas,0.857,0.122
Brazil,0.907,0.199
The Wizard,0.851,0.552
Carnaval de Yungay,0.959,0.473
Y Nos Dieron las Diez,0.805,0.322
Zamba Triste - Instrumental,0.883,0.241
El cóndor pasa - Huaino,0.898,0.0646
"Rodrigo: Concierto de Aranjuez: II. Adagio (Excerpt, Opening)",0.961,0.0386
Eliza,0.917,0.16
Distant Night,0.763,0.0615
Der Stieglitz,0.885,0.157
Morning Mist,0.829,0.221
A Quiet Summer Night,0.936,0.161
Glimpse of Us,0.733,0.098
Pisces,0.94,0.171
Beauty of Flow,0.865,0.235
"The Godfather Theme (From \""The Godfather\"")",0.933,0.034
Friends,0.861,0.389
I See Fire - Acoustic Guitar,0.866,0.0952
Blinding Lights (Instrumental Guitar),0.925,0.22
Stack of Leis,0.885,0.147
Canción Triste,0.926,0.165
Don't Know Why,0.926,0.0861
Zombie,0.875,0.4
Kokoni Sachi Ari,0.853,0.252
Every Breath You Take,0.889,0.275
Na Baixa Do Sapateiro,0.72,0.32
A Niente,0.989,0.00174
Agua e vinho,0.917,0.0367
Wishful Thinking,0.819,0.408
Jeux interdits (Romance),0.892,0.0907
Putka Mayu,0.903,0.245
Hawaiian Chimes,0.931,0.31
La Pomeña,0.898,0.227
Estudios sencillos: First Series: I,0.888,0.216
'Round Midnight,0.87,0.0859
Liloa's Mele - Grandson's Lullaby,0.885,0.15
Bullfighter's Dream,0.814,0.542
Farewell Blues,0.911,0.304
Internal Flight,0.871,0.614
Sancy,0.908,0.088
When We Dance,0.933,0.617
Adenau,0.941,0.112
Satellites,0.942,0.0328
"Secret Base (From \""Anohana\"")",0.63,0.39
As The Day Breaks,0.853,0.239
Ao Clarear,0.947,0.162
El Gato,0.924,0.327
blue in bossa,0.883,0.295
Motoka,0.9,0.229
Keali'i's Mele,0.903,0.339
Varadero,0.71,0.00323
Nosara,0.995,0.00153
Arob,0.991,0.00209
A Niente,0.997,0.0000203
La Noche,0.964,0.0709
Elirid,0.968,0.00222
Song For Nicolai,0.928,0.0725
Sanoe - Instrumental,0.899,0.166
Yellow Bird,0.845,0.239
Pulelehua,0.841,0.171
Ku'u Kīkā Kahiko (My Old Guitar),0.878,0.266
Kona Hema,0.872,0.235
Mauna Loa Slack Key,0.932,0.204
紅蓮の弓矢 (Instrumental),0.867,0.508
Mele Li'i - Bonus Track,0.799,0.202
How D'ya Do,0.917,0.121
Una Mañana,0.651,0.629
Como Se Goza En El Barrio,0.698,0.795
Qualm,0.907,0.218
Akaline Akaline,0.91,0.525
The River and the Mountain,0.908,0.222
Rise,0.892,0.255
Versailles,0.925,0.161
Full Bloom,0.767,0.264
Romance Anónimo,0.844,0.226
Mirrors (Instrumental Guitar),0.897,0.194
No Boundaries,0.597,0.882
Open Eyes,0.754,0.225
Smells Like Teen Spirit,0.857,0.647
Kleiner Singvogel,0.938,0.104
What Are You Doing the Rest of Your Life?,0.938,0.134
From Sounio to Sevilla,0.82,0.666
River Flows In You,0.888,0.223
Wonderwall,0.921,0.372
The Bat,0.819,0.504
River Flows In You,0.692,0.315
Repiqueteadita,0.849,0.455
La Negra,0.924,0.102
Innocence,0.601,0.173
Auld Lang Syne,0.88,0.0963
Amaneci En Tus Brazos,0.876,0.382
Estudo No. 12,0.795,0.546
Heart Still/Beating - Digitally Remastered 1999,0.885,0.634
Concierto de Aranjuez: II. Adagio,0.93,0.0834
DLMD,0.843,0.99
You're My Angel,0.525,0.985
Kimimaru,0.694,0.496
Poder,0.887,0.444
Verb,0.91,0.477
Falta,0.816,0.572
Da Capo - Video Mix,0.895,0.816
Sube,0.78,0.573
Demons - Promo Remix,0.922,0.983
I Come Correct,0.589,0.931
Sorrow,0.798,0.338
'98 To Piano [Mix Cut] - Original Mix,0.973,0.977
Hondo,0.798,0.928
My Empty Bottle,0.853,0.913
Arder,0.76,0.553
Oscuro,0.979,0.537
Hava Naquila - Flamman & Abraxas Radio Mix,0.875,0.937
Days Go By (Technikore Mix),0.685,0.994
Push Em Up,0.571,0.886
Friends - Single Edit,0.917,0.824
Bullet in the Gun (Weaver & Steve Hill Mix),0.872,0.994
Hypnotizing,0.893,0.884
Plus,0.547,0.754
Immortality,0.612,0.835
Killing Scum - Promo Remix,0.706,0.996
I'm Lonely - Remastered,0.544,0.903
Gimme Some More,0.86,0.997
Love You More (Weaver & Steve Hill Mix),0.673,0.967
Aquarius - Flamman & Abraxas Radio Mix,0.61,0.851
Switch,0.641,0.823
Turbulence,0.935,0.865
Around The World,0.866,0.937
Return To Zero - The Mystery Land Anthem,0.755,0.866
Shooting Star - Euro Mix,0.878,0.592
Dancing Together,0.832,0.98
Better,0.955,0.452
Not Alone (Weaver & Steve Hill Mix),0.531,0.973
Rainbow In The Sky - Re-Style & Bass-D Remix,0.553,0.984
Kapu,0.892,0.69
Bass And Sound,0.66,0.833
Belgium Jump,0.867,0.513
If You'Re Smart,0.74,0.873
Move,0.708,0.887
Bad Dreams,0.809,0.797
Killing Scum - DJ Promo Meets Shaolin Mix,0.614,0.992
MzKzM - Original Mix,0.65,0.875
The beat can’t change,0.651,0.907
Used & Abused - Amnesia Mix,0.764,0.958
Soushkin - Original Remastered Mix,0.788,0.891
A Way Of Life,0.515,0.716
Party Hard - Flamman & Abraxas Radio Mix,0.545,0.914
Gamble,0.949,0.999
Foreplay,0.84,0.594
Wonderful Days,0.927,0.92
Let's Move Some,0.786,0.933
XTC Love,0.82,0.852
The Time Is Now,0.85,0.994
Alright Here We Go!,0.943,0.649
Attack,0.527,0.933
Artwork,0.543,0.982
Luces,0.764,0.668
Cartoons in Progress - D-Tune Remix,0.662,0.986
Hardcore (Album Version),0.79,0.948
Action,0.879,0.589
Faster Harder Scooter - Remastered,0.889,0.941
Cambodia,0.813,0.995
Come As One (Brennan Heart Remix),0.705,0.733
Electricity - Flamman & Abraxas Mix,0.633,0.995
Big Boys Don't Cry - Original Mix,0.518,0.964
Let's Move Some,0.788,0.928
Alles Naar De Klote,0.837,0.912
Open Your Eyez,0.848,0.915
Towards The Sun,0.652,0.935
Big Boys Don't Cry,0.637,0.937
There It Is (Original Mix) - Extended Mix,0.691,0.953
There It Is - Original Mix,0.629,0.972
Polaris Dream,0.916,0.997
The End Of The Beginning,0.726,0.966
I Love You (Bonus Beats) - Extended Mix,0.838,0.995
Are You Ready To Fly (Radio Mix),0.521,0.758
Komen Wij Uit Rotterdam,0.698,0.99
Enola Gay,0.718,0.951
The Key - BK's Slam Remix,0.538,0.909
Lost in Love,0.906,0.935
Feel the Melody - ExaMelodica Remix,0.529,0.985
Shooting Star - Force & Styles Mix,0.561,0.945
Terrormusic - Original Mix,0.67,0.998
Hardsax - Original Mix,0.916,0.951
Friends (Original Mix),0.924,0.829
Pulstar - Remastered,0.876,0.994
Pain,0.851,0.634
Nonono - Original Mix,0.889,0.929
Hardsax (Original Mix) - Extended Mix,0.922,0.97
Pump Up The Volume - Original Mix,0.798,0.92
To See,0.9,0.453
Nonono (Original Mix) - Extended Mix,0.878,0.918
Da Capo (Classic Rave Mix),0.811,0.825
Desire,0.84,0.641
Pump Up The Volume (Original Mix) - Extended Mix,0.889,0.883
Symmetry C,0.847,0.917
Secret Valley,0.951,0.965
I Wanna Rock You - CD Mix,0.524,0.954
Simbiosis - Original Mix,0.787,0.817
For You Marlene,0.711,0.986
Fuck martina,0.851,0.937
Don't Quit (Original Mix) - Extended Mix,0.596,0.852
Damn - Original Mix,0.837,0.99
Burnin Love - Rave Radio Edit,0.615,0.922
Why Not - Original Mix,0.904,0.899
Turn It Up - Original Mix,0.788,0.929
The Final Part of Raveworld - Remastered 2019,0.826,0.854
Big Boys Don't Cry (Original Mix) - Extended Mix,0.579,0.948
Why Not (Original Mix) - Extended Mix,0.903,0.892
The Sound He Makes - Original Mix,0.643,0.87
Capturing Matrix,0.82,0.961
Turn It Up (Original Mix) - Extended Mix,0.924,0.915
What Iz Life (Original Mix) - Extended Mix,0.564,0.976
I Am The Magnificent - Original Mix,0.653,0.822
Are You Down,0.785,0.994
Friends,0.612,0.935
The Sound He Makes (Original Mix) - Extended Mix,0.684,0.901
Believe The Innocence (Original Mix) - Extended Mix,0.753,0.948
I Am The Magnificent (Original Mix) - Extended Mix,0.74,0.853
Boom Boom (Whoo),0.533,0.653
Unfuture,0.941,0.874
Rip Shit Up - DJ Isaac Remix,0.841,0.756
Commence - Original Mix,0.86,0.967
Cocaine,0.564,0.654
Neckbreaker - Original Mix,0.587,0.999
I Wanna Rock You (CD Mix) - Extended Mix,0.68,0.935
Wasteland - Bassleader Anthem,0.871,0.971
Capturing Matrix (Trancegression Cc3),0.791,0.969
Bad,0.814,0.711
Damn (Original Mix) - Extended Mix,0.787,0.993
The Beat Is Flown,0.538,0.851
Power of Silence,0.862,0.969
Make Some Noise,0.878,0.991
Toda Rhythm,0.849,0.896
The World of the LSD-User,0.696,0.91
The Future,0.674,0.952
I Am a Ruffneck,0.882,0.949
Alt,0.537,0.935
Trackers,0.851,0.54
Real-X,0.942,0.639
Burning Phibes,0.854,0.943
BazeFaze - SPLT SCND INTERLUDE RMX 11,0.919,0.92
I better be real nice to you - Radio Edit,0.612,0.996
Who Is Elvis ? - Radio Version,0.798,0.899
Fuckin Hostile (The Outside Agency Remix),0.693,0.999
Soul Train - Remastered,0.82,0.954
X-Terminate - T-1000 Mix,0.723,0.939
Don't Go - 2021 Mix,0.681,0.947
Stricly Buisness (Catscan & X-Ess Love 'N Respect Remix) - Remastered,0.853,0.814
Enola Gay,0.716,0.951
I will have that power - The Stunned Guys rmx - Traxtorm Legends Rebuild,0.657,0.561
Elysium Plus - Original Mix,0.812,0.945
Stampede (feat. Fatman Scoop),0.868,0.985
Sunrise - JTS & Haze Remix,0.582,0.98
Digital Voodoo,0.91,0.926
Kalinka (DJ Edit),0.77,0.85
Fuck Martina - Stunned Guys Remix,0.831,0.896
Play It Loud - 2021 Mix,0.765,0.918
Whistling Dave,0.844,0.879
Alive!,0.915,0.891
Jitter 0.5 - Original Mix,0.845,0.999
Bad Dreams - Remix,0.843,0.627
"Omar, Rip It Up",0.684,0.651
Stiletto,0.941,0.715
Alive!,0.93,0.89
Forgotten Moments - Ophidian Remix,0.73,0.796
Wave of Rave - Countdown in Cold Bass City [Remastered],0.818,0.97
Dominator - Frank De Wulf Remix,0.813,0.789
Hardcore Hooligans,0.701,0.964
For You Marlene,0.856,0.983
Love Generation,0.826,0.95
Sacred Cycles,0.876,0.947
Hava Naquila,0.886,0.93
Jaws 2016,0.858,0.986
Fly - Lick Mix,0.657,0.757
Ravers Movement,0.509,0.794
The Beat Is Flown,0.544,0.851
Drop The Pressure - Chosen Few Cut,0.512,0.992
Liquid Is Liquid - Remastered,0.822,0.99
Kill tha Noise,0.827,0.965
Le Rock,0.87,0.996
Legs - '96 Hardcore Remix,0.911,0.963
Let Me Suck Your….. [Mix Cut] - Original Mix,0.712,0.851
BazeFaze - SPLT SCND INTERLUDE RMX 10,0.903,0.967
A Way Of Life,0.518,0.716
Waiting for Spring - Remastered,0.795,0.96
We Shall Not Be Moved,0.814,0.993
No Fate,0.78,0.936
Follow the Leader - Original,0.772,0.858
No Newstyle - Buzz Fuzz Remix,0.609,0.727
No.1 - Al Storm Remix,0.56,0.852
Soushkin - Original Mix,0.782,0.74
Koma - DJ Hooligan Remix,0.881,0.708
Fairytales,0.887,0.905
Daze of Old - Chaotic Hostility Edit 4 Pandemonium,0.513,0.962
Verrotted - Original Mix,0.577,0.907
Rainbow In The Sky - Re-Style & Bass-D 2013 Remix,0.553,0.984
Apache Rocks the Bottom! - Radio [Remastered],0.577,0.992
Da Capo (Classic Cut),0.807,0.848
Feel the Music - Remix,0.564,0.979
Take Me Higher,0.87,0.742
Dumcore,0.896,0.633
Ibiza - Original Pollo Mix,0.679,0.732
Forever,0.677,0.982
One To The Two,0.75,0.832
Fast Life - Radio Edit,0.594,0.997
BazeFaze - SPLT SCND INTERLUDE RMX 12,0.85,0.906
Dopeman,0.763,0.746
Inspiration,0.855,0.827
Mozart On Crack - Original Mix,0.861,0.872
Vet Wel (edit),0.905,0.998
We Are From Rotterdam - Evil Activities Remix,0.866,0.962
7 Beats - Mellow Mix,0.901,0.878
Biomoid,0.816,0.74
Only Time - Uplift & Stargazer Remix,0.749,0.992
Forgotten Moments,0.949,0.892
Brute Force,0.88,0.848
Sanctity Of Space III: Meteoroid,0.765,0.991
Believe In The Future - DJ Weirdo & DJ Sim Future Remix,0.517,0.879
Nessaja - Breeze Mix [Remastered],0.677,0.976
The Strongest Gang (Da Hood),0.814,0.908
Pump this Party,0.815,0.886
Boomshakalaka - 2016 rebuild,0.809,0.987
Cruce,0.881,0.653
Dildo - Interdrive Version,0.571,0.815
The Logical Song - Clubstar UK Mix [Remastered],0.84,0.923
Bassleader (Official Bassleader Anthem),0.707,0.927
Here I Am,0.932,0.913
Ride To The Rhytmn,0.798,0.972
We Like Marihuana - DJ Paul's Forze Mix,0.675,0.82
Dance to da house,0.722,0.925
You And Me,0.785,0.815
This Moment - Flamman & Abraxas Radio Mix,0.704,0.983
Don't Fuck With a Ruffneck - Anthem,0.943,0.929
Whoomps!,0.604,0.87
Hardcore Power - Original,0.668,0.767
What the Fuck?,0.967,0.922
Without Me - Extended Mix,0.709,0.895
XTC Love,0.71,0.963
Dominator - Frank De Wulf Extended Mix,0.727,0.741
Positive Energy,0.533,0.866
My Little Fantasy - Extended Version,0.676,0.973
Nightlife,0.85,0.923
King Of The Beats,0.923,0.997
Around The World,0.865,0.937
Living In XTC,0.894,0.894
Allright Now Here We Go!!! (Original Mix) - Extended Mix,0.848,0.931
Allright Now Here We Go!!! (DJ Rob Remix) - Extended Mix,0.883,0.792
Q-Galaxy (Q-BASE BKJN OST 2017),0.685,0.978
Combustion,0.813,0.989
Everybody Move Your Body,0.896,0.982
Everything's Borrowed,0.817,0.964
Slave to the Grind,0.542,0.964
"Double Talkin' Jive - Live In Las Vegas, Thomas & Mack Center - January 25, 1992",0.712,0.902
You Could Be Mine,0.551,0.985
Eruption - 2015 Remaster,0.813,0.689
When the Levee Breaks - Remaster,0.52,0.766
Battery,0.558,0.928
Estar Solo,0.605,0.736
Photograph,0.635,0.877
Let There Be Rock,0.607,0.725
Descubra O Que Há De Errado Com Você,0.823,0.982
Imperium,0.961,0.473
She Sells Sanctuary,0.873,0.765
Lagu Hujan,0.512,0.661
Hangar 18 - Remastered,0.84,0.988
Peace Sells - Remastered,0.817,0.932
Too Fast Live Too Young Too Die,0.737,0.942
Fight Fire With Fire - Remastered,0.728,0.988
Boox,0.968,0.518
Mama Said Knock You Out,0.674,0.759
Retrato,0.926,0.618
Damn It Feels Good to Be a Gangsta,0.718,0.793
Sudah Gila,0.914,0.999
No Other Choice,0.796,0.606
"Blah, Blah, Blah",0.637,0.961
Sweetness of Life,0.582,0.996
Persetan,0.667,0.958
Through My Fingers,0.863,0.84
Art of Scratch (Intro),0.505,0.819
Ghost,0.927,0.924
Puppet,0.705,0.973
Membakar Jakarta,0.527,0.974
Everyone I Know Has Fangs,0.731,0.966
Trip to Ireland,0.761,0.991
Waiting Room,0.822,0.716
Break,0.671,0.719
Rat Patrol,0.523,0.907
Depresi,0.884,0.998
Amazônia Nunca Mais,0.866,0.979
Muzika - Sefa Remix,0.981,0.993
Mana Tukang Indomi,0.546,0.883
Tornado (Zerberuz Remix),0.728,0.998
Intro,0.597,0.894
Calla y Espera,0.531,0.865
El Regreso,0.679,0.931
Ghost,0.763,0.841
A los Que Se Han Apagado,0.699,0.95
Invincible,0.602,0.929
Psycho Style - Edit,0.53,0.936
Music Of The Mind,0.579,0.871
We Like to Party - Original Mix,0.944,0.906
Rave Culture 2022,0.593,0.947
Confetti in m'n sokken - Hardstyle Remix,0.754,0.921
Giratina,0.814,0.924
In My Soul,0.616,0.92
Giratina (Eurobeat Remix),0.767,0.781
Barbu Bouffe Moi L'Cul,0.663,0.878
